"title","url","image","type","priority","home","home_image","lat","lon"
"Commission Nationale du Débat Public","https://web.archive.org/web/20230615100054/https://participons.debatpublic.fr/","/uploads/logo_cndp.jpg","org","2","","","",""
"Communes de la Métropole de Montpellier","https://participons-communes.fr/","/uploads/logo_communes_montpellier.jpg","region","50","","","",""
"Comune di Empoli","https://www.empolipartecipa.it/","/uploads/logo_comune_empoli.png","city","50","","","43.7200318","10.9440991"
"Comune di Milano","https://partecipazione.comune.milano.it/","/uploads/logo_comune-di-milano.png","city","90","false","","",""
"Comune di Prato","https://partecipo.prato.it/","/uploads/logo_aj_prato.jpeg","city","50","","","",""
"Conference on the Future of Europe","https://wayback.archive-it.org/12090/20230418091815/https:/futureu.europa.eu/","/uploads/logo_cofe.png","region","50","","","",""
"European Commission -  Citizens’ Engagement Platform","https://citizens.ec.europa.eu/","/uploads/logo_european_comission.jpg","region","99","true","/uploads/logo_european_comission_red.png","",""
"Conseil de Développement de la Communauté d'Agglomération Sophia Antipolis","https://concertation-citoyenne.cddcasa.fr/","/uploads/logo_cddcasa.png","region","50","","","",""
"Conseil économique, social et environnemental","https://petitions.lecese.fr/","/uploads/logo_cese.png","org","50","","","",""
"Consell de la Joventut de Barcelona","https://participa.cjb.cat/","/uploads/logo_conselljunventutbarcelona.png","org","50","","","",""
"Consell de Poble de Santa Pau","https://santapau-decidim.ddgi.cat/","/uploads/logo_aj_santapau.png","city","50","","","",""
"Convention Citoyenne pour le Climat ","https://web.archive.org/web/20210905055514/https://contribuez.conventioncitoyennepourleclimat.fr/","/uploads/logo_conventioncitoyennepourleclimat.png","org","60","","","",""
"Coop57","https://participa.coop57.coop/","/uploads/logo_coop57.png","org","50","","","",""
"Coopmunity","https://coopmmunity.eu/","/uploads/logo_coopmmunity.png","org","50","","","50.8334011","4.3440146"
"Cosmotécnicas Amazônicas","https://cosmo.tec.br/","https://cosmo.tec.br/","org","50","","","-1.4901202","-48.4351878"
"CoTerrats","https://web.archive.org/web/20220809131749/https://decidim.coterrats.com/","/uploads/logo_coterrats.png","org","2","","","",""
"Cour de comptes","https://participationcitoyenne.ccomptes.fr/","/uploads/logo_ccomptes.png","org","50","","","",""
"Cubelles","https://participa311-cubelles.diba.cat/","/uploads/logo_aj_cubelles.gif","city","50","","","",""
"Cuenca ","https://cuencaparticipa.cuenca.gob.ec","/uploads/escudo-cuenca_alcaldia-2023-2027-04.png","city","50","","","",""
"Cultuur Connect","https://cooperatieplatform.cultuurconnect.be","/uploads/logo_cultuurconnect.png","org","30","false","","",""
"Cunit","https://decidim.cunit.cat/","/uploads/logo_aj_cunit.webp","city","50","","","",""
"De Kamber Belgium","https://dekamer.mijnopinie.belgium.be","/uploads/logo_kamber_be.png","region","90","false","","",""
"Decathlon","https://web.archive.org/web/20211018211115/https://vision-campus.decathlon.fr/","/uploads/logo_decathlon.png","org","50","","","",""
"Decidim Atende","https://decidim-cs.cdsh.dev/","/uploads/atende-logo-podstawowe.jpg","org","50","","","52.2560351","21.0648611"
"Decidim CoARA (UOC)","https://decidim-coara.techlab.uoc.edu/","/uploads/coara-logo-beitrag.jpg","university","50","","","",""
"Decidim Hungary","https://decidim.kdea.hu/","/uploads/output-onlinepngtools.png","org","50","","","47.4946321","19.0432635"
"Decidim Ljubljana","https://ljubljana.participation.works/","/uploads/gmajna-logo.jpg","city","50","","","46.0526981","14.5217169"
"DECODE","https://web.archive.org/web/20210106185132/https://tecnopolitica.net/en/content/digital-democracy-and-data-commons-dddc","/uploads/logo_decode.svg","org","50","","","",""
"Degrowth Conference","https://web.archive.org/web/20211026231939/https://degrowth.nl/","/uploads/logo_degrowth.png","org","50","","","",""
"Demain Amu","https://web.archive.org/web/20200519194734/https://democratie.demain-amu.fr/","/uploads/logo_demain_amu.jpg","org","50","","","",""
"Departement de Herault","https://concertationnumerique.herault.fr","/uploads/logo_herault.jpg","region","50","","","",""
"Departement de La Mayenne","https://may-dialogue.lamayenne.fr/","/uploads/logo_lamayenne.png","region","50","","","",""
"Dipartimento della funzione pubblica","https://community.dfp.gov.it/","/uploads/logo_dfp.png","org","50","","","",""
"Diputació de Barcelona","https://comunitat311.diba.cat/","/uploads/logo_diba.png","region","2","","","",""
"Diputació de Girona","http://decidim.ddgi.cat/","/uploads/logo_ddgi.png","region","2","","","",""
"Diputación de Guipuzcoa","https://gi2030.eus/","/uploads/logo_diputacion_guipuzkoa.png","region","50","","","",""
"Diputación Granada","https://participa.dipgra.es/","/uploads/logo_diputacion_granada.png","region","80","","","",""
"Eau de Paris","https://web.archive.org/web/20240416072002/https://budgetparticipatif.eaudeparis.fr/","/uploads/logo_eaudeparis.svg","org","50","","","",""
" El Prat de Llobregat","https://participa311-elprat.diba.cat/","/uploads/logo_aj_elprat.jpg","city","50","","","",""
"Masnou","https://participa311-elmasnou.diba.cat/","/uploads/logo_aj_elmasnou.png","city","50","","","",""
"Elogie Siemp","https://web.archive.org/web/20230601125240/https://www.budgetparticipatif.elogie-siemp.paris/","/uploads/logo_elogiesiemp.png","city","2","","","",""
"Emilia-Romagna","https://partecipazioni.emr.it/","/uploads/logo_emilia_romagna.png","region","50","","","",""
"Emmaus Solidarite","https://decidim.emmaus-solidarite.org","/uploads/logo_emmaus_solidarite.jpg","org","50","","","",""
"Energética coop","https://participa.energetica.coop/users/sign_in","/uploads/logo_energeticacoop.png","org","50","","","",""
"Enguera","https://web.archive.org/web/20240531030121/https://decide.enguera.es/","/uploads/logo_enguera.png","city","50","","","",""
"Escoltes Catalans","https://participa.escoltes.org","/uploads/logo_escoltes_catalans.png","org","50","","","",""
"Eslövs Kommun","https://dialog.eslov.se/","/uploads/logo_aj_eslovs.webp","city","50","","","",""
"Esparreguera","https://participa311-esparreguera.diba.cat/","/uploads/logo_aj_esparraguera.jpg","city","2","","","",""
"Esplugues de Llobregat","https://participa311-espluguesparticipa.diba.cat/","/uploads/logo_aj_esplugues.gif","city","2","","","",""
"Est  Ensemble Grand Paris","https://ensemblepourleclimat.est-ensemble.fr/","/uploads/logo_est_ensemble_grand_paris.png","region","50","","","",""
" Estratègia de l'Economia Social i Solidària a Barcelona 2030","https://essbcn2030.decidim.barcelona/","/uploads/logo_essbcn2030.png","org","50","","","",""
"European Citizens Bank","https://web.archive.org/web/20221127120211/https://europeancitizensbank.eu/","/uploads/logo_european_citizens_bank.png","org","50","","","",""
"European Comission - Missions","https://web.archive.org/web/20200901153720/https://missions-get-involved.ec.europa.eu/","/uploads/logo_eumissions.png","org","50","","","",""
"EUTeens4Green","https://participate.euteens4green.org/","/uploads/logo_euteens4green.png","org","50","","","",""
"Montesquiu","https://participa311-montesquiu.diba.cat/","/uploads/logo_aj_montesquiu.png","city","50","","","",""
"FAVB","https://participa.favb.cat","/uploads/logo_favb.png","org","60","","","",""
"FCEG - Federació Catalana d'Escoltisme i Guiatge","https://decidim.fceg.cat","/uploads/logo_fceg.png","org","2","","","",""
"Fearless Cities","https://network.fearlesscities.com/","/uploads/logo_fearless_cities.png","org","50","","","",""
"FEDAIA -  Federació d'entitats d'atenció a la infància i l'adolescència","https://construim.fedaia.org/","/uploads/logo_fedaia.jpg","org","50","","","",""
"Federació Catalana de Voluntariat Social","https://decidim.voluntaris.cat/","/uploads/logo_voluntaris.png","org","50","","","",""
"Federació d'Ateneus de Catalunya","https://participa.ateneus.cat","/uploads/logo_fac.png","org","2","","","",""
"Federació VEUS","https://decidim.veus.cat/","/uploads/logo_veus.png","org","50","","","",""
"Figaró-Montmany","https://participa311-figaro.diba.cat/","/uploads/logo_aj_figaro.png","city","50","","","",""
"Fleury-les-Aubrais","https://participer.fleurylesaubrais.fr/","/uploads/logo_aj_fleury_les_aubrais.jpg","city","50","","","",""
"Folgueroles","https://participa311-folgueroles.diba.cat/","/uploads/logo_aj_folgueroles.jpg","city","50","","","",""
"Food Coop BCN","https://decidim.foodcoopbcn.cat/","/uploads/logo_foodcoopbcn.png","org","50","","","",""
